Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2005 Q1	Virginia Beach, VA	11%	830	+21%
2005 Q1	Warren, MI	13%	1,067	+6%
2005 Q1	Washington, DC	6%	1,396	+30%
2005 Q1	West Palm Beach, FL	10%	1,036	+2%
2004 Q4	National	9%	48,532	+16%
2004 Q4	Anaheim, CA	6%	600	-9%
2004 Q4	Atlanta, GA	15%	3,734	+13%
2004 Q4	Baltimore, MD	9%	1,337	+24%
2004 Q4	Charlotte, NC	15%	1,043	+17%
2004 Q4	Chicago, IL	8%	2,453	+36%
2004 Q4	Cincinnati, OH	13%	1,002	+6%
2004 Q4	Cleveland, OH	12%	882	+15%
2004 Q4	Columbus, OH	13%	916	+17%
2004 Q4	Denver, CO	9%	1,078	+26%
2004 Q4	Fort Lauderdale, FL	9%	1,364	+15%
2004 Q4	Jacksonville, FL	14%	980	+17%
2004 Q4	Las Vegas, NV	10%	1,330	+13%
2004 Q4	Los Angeles, CA	6%	1,759	-13%
2004 Q4	Miami, FL	14%	2,076	+20%
2004 Q4	Milwaukee, WI	10%	572	+4%
2004 Q4	Minneapolis, MN	9%	1,523	-7%
2004 Q4	Montgomery County, PA	6%	525	+22%
2004 Q4	Nashville, TN	9%	640	+11%
2004 Q4	New Brunswick, NJ	7%	755	+20%
2004 Q4	New York, NY	10%	2,283	+43%
2004 Q4	Newark, NJ	9%	811	-6%
2004 Q4	Oakland, CA	5%	562	+12%
2004 Q4	Orlando, FL	12%	1,424	+3%
2004 Q4	Philadelphia, PA	8%	677	+28%
2004 Q4	Phoenix, AZ	15%	4,706	+52%
2004 Q4	Portland, OR	7%	738	+14%
2004 Q4	Providence, RI	6%	386	+26%
2004 Q4	Riverside, CA	8%	1,595	-2%
2004 Q4	Sacramento, CA	6%	773	+2%
2004 Q4	San Diego, CA	7%	826	+0%
2004 Q4	San Francisco, CA	6%	294	+10%
2004 Q4	San Jose, CA	3%	234	-4%
2004 Q4	Seattle, WA	6%	816	+18%
2004 Q4	Tampa, FL	14%	2,596	+26%
2004 Q4	Virginia Beach, VA	10%	857	+30%
2004 Q4	Warren, MI	11%	1,067	+17%
2004 Q4	Washington, DC	5%	1,412	+27%
2004 Q4	West Palm Beach, FL	10%	1,019	-6%
2004 Q3	National	9%	53,138	+23%
2004 Q3	Anaheim, CA	6%	607	-26%
2004 Q3	Atlanta, GA	13%	3,870	+24%
2004 Q3	Baltimore, MD	8%	1,174	+30%
2004 Q3	Charlotte, NC	13%	1,113	+28%
2004 Q3	Chicago, IL	7%	2,655	+39%
2004 Q3	Cincinnati, OH	11%	1,154	+4%
2004 Q3	Cleveland, OH	10%	933	+8%
2004 Q3	Columbus, OH	10%	946	+21%
2004 Q3	Denver, CO	8%	1,254	-10%
2004 Q3	Fort Lauderdale, FL	9%	1,553	+15%
2004 Q3	Jacksonville, FL	14%	1,151	+29%
2004 Q3	Las Vegas, NV	9%	1,571	+29%
2004 Q3	Los Angeles, CA	6%	1,971	-3%
2004 Q3	Miami, FL	13%	1,914	+2%
2004 Q3	Milwaukee, WI	8%	703	+51%
2004 Q3	Minneapolis, MN	9%	1,936	+42%
2004 Q3	Montgomery County, PA	5%	561	+25%
2004 Q3	Nashville, TN	8%	687	-7%
2004 Q3	New Brunswick, NJ	6%	949	+34%
2004 Q3	New York, NY	11%	3,038	+25%
2004 Q3	Newark, NJ	8%	926	+36%
2004 Q3	Oakland, CA	4%	614	+8%
2004 Q3	Orlando, FL	12%	1,745	+28%
2004 Q3	Philadelphia, PA	7%	671	+28%
2004 Q3	Phoenix, AZ	13%	4,303	+44%
2004 Q3	Portland, OR	7%	877	+8%
2004 Q3	Providence, RI	5%	388	+35%
2004 Q3	Riverside, CA	8%	1,948	+25%
2004 Q3	Sacramento, CA	7%	962	+28%
2004 Q3	San Diego, CA	7%	880	-2%
2004 Q3	San Francisco, CA	5%	273	-3%
2004 Q3	San Jose, CA	4%	317	+30%
2004 Q3	Seattle, WA	6%	845	+13%
2004 Q3	Tampa, FL	12%	2,636	+27%
2004 Q3	Virginia Beach, VA	8%	874	+66%
2004 Q3	Warren, MI	11%	1,483	+67%
2004 Q3	Washington, DC	5%	1,673	+42%
2004 Q3	West Palm Beach, FL	9%	1,072	+12%
2004 Q2	National	9%	52,133	+37%
2004 Q2	Anaheim, CA	6%	786	+3%
2004 Q2	Atlanta, GA	13%	3,491	+27%
2004 Q2	Baltimore, MD	9%	1,421	+30%
2004 Q2	Charlotte, NC	13%	1,078	+30%
2004 Q2	Chicago, IL	7%	2,100	+56%
2004 Q2	Cincinnati, OH	11%	1,065	+18%
2004 Q2	Cleveland, OH	10%	902	+23%
2004 Q2	Columbus, OH	10%	834	+18%
2004 Q2	Denver, CO	7%	1,101	+41%
2004 Q2	Fort Lauderdale, FL	9%	1,596	+24%
2004 Q2	Jacksonville, FL	14%	1,152	+48%
2004 Q2	Las Vegas, NV	10%	1,837	+96%
2004 Q2	Los Angeles, CA	6%	2,162	+16%
2004 Q2	Miami, FL	14%	2,227	+51%
2004 Q2	Milwaukee, WI	9%	599	+17%
2004 Q2	Minneapolis, MN	11%	1,847	+43%
2004 Q2	Montgomery County, PA	5%	457	+28%
2004 Q2	Nashville, TN	7%	587	+2%
2004 Q2	New Brunswick, NJ	7%	871	+35%
2004 Q2	New York, NY	11%	2,401	+48%
2004 Q2	Newark, NJ	9%	776	+24%
2004 Q2	Oakland, CA	5%	639	+35%
2004 Q2	Orlando, FL	11%	1,640	+44%
2004 Q2	Philadelphia, PA	9%	663	+70%
2004 Q2	Phoenix, AZ	12%	4,225	+43%
2004 Q2	Portland, OR	6%	765	+7%
2004 Q2	Providence, RI	5%	348	+31%
2004 Q2	Riverside, CA	9%	2,226	+47%
2004 Q2	Sacramento, CA	7%	926	+32%
2004 Q2	San Diego, CA	7%	1,095	+30%
2004 Q2	San Francisco, CA	6%	317	+45%
2004 Q2	San Jose, CA	4%	359	+60%
2004 Q2	Seattle, WA	6%	897	+27%
2004 Q2	Tampa, FL	13%	2,857	+56%
2004 Q2	Virginia Beach, VA	10%	954	+71%
2004 Q2	Warren, MI	10%	1,089	+26%
2004 Q2	Washington, DC	5%	1,553	+47%
2004 Q2	West Palm Beach, FL	9%	1,327	+40%
2004 Q1	National	10%	41,589	+33%
2004 Q1	Anaheim, CA	6%	612	+13%
2004 Q1	Atlanta, GA	16%	3,039	+26%
2004 Q1	Baltimore, MD	9%	1,007	+19%
2004 Q1	Charlotte, NC	16%	840	+26%
2004 Q1	Chicago, IL	8%	1,837	+38%
2004 Q1	Cincinnati, OH	14%	890	+31%
2004 Q1	Cleveland, OH	14%	753	+44%
2004 Q1	Columbus, OH	13%	722	+34%
2004 Q1	Denver, CO	8%	776	+32%
2004 Q1	Fort Lauderdale, FL	9%	1,236	+9%
2004 Q1	Jacksonville, FL	15%	929	+28%
2004 Q1	Las Vegas, NV	10%	1,380	+79%
2004 Q1	Los Angeles, CA	6%	1,767	+29%
2004 Q1	Miami, FL	13%	1,617	+11%
2004 Q1	Milwaukee, WI	11%	494	+11%
2004 Q1	Minneapolis, MN	12%	1,711	+48%
2004 Q1	Montgomery County, PA	5%	411	+50%
2004 Q1	Nashville, TN	9%	500	+4%
2004 Q1	New Brunswick, NJ	7%	767	+32%
2004 Q1	New York, NY	11%	2,247	+87%
2004 Q1	Newark, NJ	9%	723	+28%
2004 Q1	Oakland, CA	5%	423	+22%
2004 Q1	Orlando, FL	12%	1,351	+41%
2004 Q1	Philadelphia, PA	9%	590	+53%
2004 Q1	Phoenix, AZ	13%	3,143	+31%
2004 Q1	Portland, OR	7%	520	-8%
2004 Q1	Providence, RI	6%	264	+18%
2004 Q1	Riverside, CA	9%	1,798	+57%
2004 Q1	Sacramento, CA	7%	655	+33%
2004 Q1	San Diego, CA	7%	798	+24%
2004 Q1	San Francisco, CA	6%	219	+17%
2004 Q1	San Jose, CA	4%	222	+64%
2004 Q1	Seattle, WA	7%	645	+12%
2004 Q1	Tampa, FL	13%	2,204	+57%
2004 Q1	Virginia Beach, VA	9%	686	+59%
2004 Q1	Warren, MI	10%	1,008	+11%
2004 Q1	Washington, DC	5%	1,076	+24%
2004 Q1	West Palm Beach, FL	10%	1,018	+17%
2003 Q4	National	9%	41,800	+23%
2003 Q4	Anaheim, CA	6%	661	+16%
2003 Q4	Atlanta, GA	14%	3,309	+28%
2003 Q4	Baltimore, MD	8%	1,078	+24%
2003 Q4	Charlotte, NC	14%	893	+17%
2003 Q4	Chicago, IL	7%	1,799	+22%
2003 Q4	Cincinnati, OH	12%	946	+36%
2003 Q4	Cleveland, OH	11%	766	+30%
2003 Q4	Columbus, OH	11%	785	+23%
2003 Q4	Denver, CO	7%	854	+22%
2003 Q4	Fort Lauderdale, FL	8%	1,191	+12%
2003 Q4	Jacksonville, FL	12%	841	+21%
2003 Q4	Las Vegas, NV	9%	1,174	+63%
2003 Q4	Los Angeles, CA	6%	2,013	+26%
2003 Q4	Miami, FL	12%	1,727	-4%
2003 Q4	Milwaukee, WI	8%	548	+60%
2003 Q4	Minneapolis, MN	11%	1,629	+80%
2003 Q4	Montgomery County, PA	5%	431	+30%
2003 Q4	Nashville, TN	8%	579	+4%
2003 Q4	New Brunswick, NJ	5%	627	-3%
2003 Q4	New York, NY	9%	1,601	-1%
2003 Q4	Newark, NJ	8%	867	+92%
2003 Q4	Oakland, CA	5%	504	+34%
2003 Q4	Orlando, FL	12%	1,383	+57%
2003 Q4	Philadelphia, PA	7%	527	+35%
2003 Q4	Phoenix, AZ	13%	3,104	+22%
2003 Q4	Portland, OR	7%	650	+12%
2003 Q4	Providence, RI	5%	307	+6%
2003 Q4	Riverside, CA	8%	1,621	+23%
2003 Q4	Sacramento, CA	7%	758	+22%
2003 Q4	San Diego, CA	7%	829	+22%
2003 Q4	San Francisco, CA	6%	267	+10%
2003 Q4	San Jose, CA	4%	243	+42%
2003 Q4	Seattle, WA	6%	691	+20%
2003 Q4	Tampa, FL	12%	2,060	+25%
2003 Q4	Virginia Beach, VA	8%	657	+30%
2003 Q4	Warren, MI	8%	912	+52%
2003 Q4	Washington, DC	5%	1,116	+15%
2003 Q4	West Palm Beach, FL	9%	1,088	+29%
2003 Q3	National	8%	43,324	+20%
2003 Q3	Anaheim, CA	6%	817	+33%
2003 Q3	Atlanta, GA	12%	3,129	+17%
2003 Q3	Baltimore, MD	8%	905	+8%
2003 Q3	Charlotte, NC	11%	871	+6%
2003 Q3	Chicago, IL	6%	1,904	+14%
2003 Q3	Cincinnati, OH	11%	1,114	+38%
2003 Q3	Cleveland, OH	9%	861	+29%
2003 Q3	Columbus, OH	8%	784	+6%
2003 Q3	Denver, CO	9%	1,399	+74%
2003 Q3	Fort Lauderdale, FL	8%	1,356	+5%
2003 Q3	Jacksonville, FL	12%	893	+19%
2003 Q3	Las Vegas, NV	9%	1,214	+68%
2003 Q3	Los Angeles, CA	6%	2,040	+20%
2003 Q3	Miami, FL	12%	1,884	+15%
2003 Q3	Milwaukee, WI	7%	467	+9%
2003 Q3	Minneapolis, MN	7%	1,362	+27%
2003 Q3	Montgomery County, PA	4%	448	+20%
2003 Q3	Nashville, TN	8%	738	+39%
2003 Q3	New Brunswick, NJ	6%	710	-5%
2003 Q3	New York, NY	11%	2,433	+38%
2003 Q3	Newark, NJ	7%	681	+13%
2003 Q3	Oakland, CA	4%	568	+42%
2003 Q3	Orlando, FL	10%	1,359	+33%
2003 Q3	Philadelphia, PA	7%	525	+22%
2003 Q3	Phoenix, AZ	11%	2,984	+25%
2003 Q3	Portland, OR	6%	815	+43%
2003 Q3	Providence, RI	4%	287	-6%
2003 Q3	Riverside, CA	7%	1,558	+16%
2003 Q3	Sacramento, CA	6%	751	+18%
2003 Q3	San Diego, CA	6%	898	+10%
2003 Q3	San Francisco, CA	5%	281	+47%
2003 Q3	San Jose, CA	3%	243	+28%
2003 Q3	Seattle, WA	5%	747	+36%
2003 Q3	Tampa, FL	11%	2,081	+25%
2003 Q3	Virginia Beach, VA	7%	528	-7%
2003 Q3	Warren, MI	8%	889	-8%
2003 Q3	Washington, DC	4%	1,178	+18%
2003 Q3	West Palm Beach, FL	8%	961	-4%
2003 Q2	National	8%	37,939	-1%
2003 Q2	Anaheim, CA	6%	763	+1%
2003 Q2	Atlanta, GA	12%	2,756	-3%
2003 Q2	Baltimore, MD	8%	1,094	+12%
2003 Q2	Charlotte, NC	12%	827	+1%
2003 Q2	Chicago, IL	6%	1,348	-11%
2003 Q2	Cincinnati, OH	10%	904	+7%
2003 Q2	Cleveland, OH	9%	733	+12%
2003 Q2	Columbus, OH	9%	705	-1%
2003 Q2	Denver, CO	6%	782	-7%
2003 Q2	Fort Lauderdale, FL	8%	1,285	+10%
2003 Q2	Jacksonville, FL	12%	781	+3%
2003 Q2	Las Vegas, NV	8%	938	+18%
2003 Q2	Los Angeles, CA	6%	1,860	+1%
2003 Q2	Miami, FL	12%	1,473	-18%
2003 Q2	Milwaukee, WI	8%	513	+25%
2003 Q2	Minneapolis, MN	8%	1,290	+23%
2003 Q2	Montgomery County, PA	5%	356	-3%
2003 Q2	Nashville, TN	7%	575	-2%
2003 Q2	New Brunswick, NJ	6%	647	+12%
2003 Q2	New York, NY	10%	1,621	-15%
2003 Q2	Newark, NJ	9%	628	-1%
2003 Q2	Oakland, CA	4%	474	+0%
2003 Q2	Orlando, FL	10%	1,138	+14%
2003 Q2	Philadelphia, PA	7%	390	-9%
2003 Q2	Phoenix, AZ	11%	2,945	+11%
2003 Q2	Portland, OR	7%	713	+23%
2003 Q2	Providence, RI	5%	266	-9%
2003 Q2	Riverside, CA	8%	1,511	+7%
2003 Q2	Sacramento, CA	7%	704	+10%
2003 Q2	San Diego, CA	6%	840	-9%
2003 Q2	San Francisco, CA	5%	218	-14%
2003 Q2	San Jose, CA	4%	224	+15%
2003 Q2	Seattle, WA	5%	705	+19%
2003 Q2	Tampa, FL	10%	1,829	+3%
2003 Q2	Virginia Beach, VA	8%	558	-8%
2003 Q2	Warren, MI	10%	861	-13%
2003 Q2	Washington, DC	4%	1,057	+9%
2003 Q2	West Palm Beach, FL	8%	950	-15%
2003 Q1	National	8%	31,304	+9%
2003 Q1	Anaheim, CA	5%	540	+5%
2003 Q1	Atlanta, GA	14%	2,411	+8%
2003 Q1	Baltimore, MD	9%	848	+21%
2003 Q1	Charlotte, NC	14%	669	-8%
2003 Q1	Chicago, IL	7%	1,329	+31%
2003 Q1	Cincinnati, OH	12%	681	+8%
2003 Q1	Cleveland, OH	10%	522	+5%
2003 Q1	Columbus, OH	11%	539	-6%
2003 Q1	Denver, CO	7%	590	-8%
2003 Q1	Fort Lauderdale, FL	9%	1,131	+25%
2003 Q1	Jacksonville, FL	14%	726	+23%
2003 Q1	Las Vegas, NV	9%	772	+31%
2003 Q1	Los Angeles, CA	5%	1,367	+4%
2003 Q1	Miami, FL	13%	1,458	+27%
2003 Q1	Milwaukee, WI	9%	446	+29%
2003 Q1	Minneapolis, MN	9%	1,154	+67%
2003 Q1	Montgomery County, PA	4%	274	+2%
2003 Q1	Nashville, TN	9%	483	+5%
2003 Q1	New Brunswick, NJ	6%	582	+11%
2003 Q1	New York, NY	9%	1,202	-20%
2003 Q1	Newark, NJ	9%	566	+13%
2003 Q1	Oakland, CA	5%	346	+5%
2003 Q1	Orlando, FL	10%	960	+18%
2003 Q1	Philadelphia, PA	7%	385	+11%
2003 Q1	Phoenix, AZ	12%	2,405	+14%
2003 Q1	Portland, OR	7%	566	+88%
2003 Q1	Providence, RI	6%	223	-7%
2003 Q1	Riverside, CA	7%	1,142	+5%
2003 Q1	Sacramento, CA	6%	494	+4%
2003 Q1	San Diego, CA	7%	642	-1%
2003 Q1	San Francisco, CA	6%	187	+5%
2003 Q1	San Jose, CA	3%	135	-27%
2003 Q1	Seattle, WA	6%	577	+51%
2003 Q1	Tampa, FL	11%	1,402	+9%
2003 Q1	Virginia Beach, VA	8%	431	+6%
2003 Q1	Warren, MI	10%	906	-27%
2003 Q1	Washington, DC	5%	868	+13%
2003 Q1	West Palm Beach, FL	10%	871	+29%
2002 Q4	National	8%	33,877	+23%
2002 Q4	Anaheim, CA	5%	572	+30%
2002 Q4	Atlanta, GA	13%	2,587	+29%
2002 Q4	Baltimore, MD	8%	868	+23%
2002 Q4	Charlotte, NC	13%	761	+34%
2002 Q4	Chicago, IL	6%	1,475	+21%
2002 Q4	Cincinnati, OH	10%	696	+20%
2002 Q4	Cleveland, OH	9%	590	+9%
2002 Q4	Columbus, OH	9%	640	+33%
2002 Q4	Denver, CO	6%	701	+2%
2002 Q4	Fort Lauderdale, FL	8%	1,062	+20%
2002 Q4	Jacksonville, FL	13%	696	+27%
2002 Q4	Las Vegas, NV	8%	720	+18%
2002 Q4	Los Angeles, CA	5%	1,592	+27%
2002 Q4	Miami, FL	13%	1,796	+50%
2002 Q4	Milwaukee, WI	6%	343	+20%
2002 Q4	Minneapolis, MN	7%	906	+10%
2002 Q4	Montgomery County, PA	4%	332	+72%
2002 Q4	Nashville, TN	8%	557	+22%
2002 Q4	New Brunswick, NJ	6%	647	+39%
2002 Q4	New York, NY	10%	1,619	+4%
2002 Q4	Newark, NJ	6%	451	+1%
2002 Q4	Oakland, CA	4%	375	+14%
2002 Q4	Orlando, FL	10%	880	+21%
2002 Q4	Philadelphia, PA	6%	391	+22%
2002 Q4	Phoenix, AZ	12%	2,541	+11%
2002 Q4	Portland, OR	7%	581	+94%
2002 Q4	Providence, RI	6%	290	+16%
2002 Q4	Riverside, CA	7%	1,323	+44%
2002 Q4	Sacramento, CA	6%	619	+31%
2002 Q4	San Diego, CA	6%	679	+17%
2002 Q4	San Francisco, CA	6%	242	+42%
2002 Q4	San Jose, CA	4%	171	+16%
2002 Q4	Seattle, WA	6%	574	+63%
2002 Q4	Tampa, FL	11%	1,648	+47%
2002 Q4	Virginia Beach, VA	8%	507	+47%
2002 Q4	Warren, MI	11%	599	-43%
2002 Q4	Washington, DC	5%	974	+33%
2002 Q4	West Palm Beach, FL	8%	844	+29%
2002 Q3	National	7%	36,192	+17%
2002 Q3	Anaheim, CA	5%	615	+10%
2002 Q3	Atlanta, GA	12%	2,678	+12%
2002 Q3	Baltimore, MD	7%	840	+21%
2002 Q3	Charlotte, NC	12%	820	+38%
2002 Q3	Chicago, IL	6%	1,673	+17%
2002 Q3	Cincinnati, OH	9%	807	+30%
2002 Q3	Cleveland, OH	9%	668	+3%
2002 Q3	Columbus, OH	9%	742	+26%
2002 Q3	Denver, CO	6%	806	-9%
2002 Q3	Fort Lauderdale, FL	8%	1,292	+20%
2002 Q3	Jacksonville, FL	13%	750	+28%
2002 Q3	Las Vegas, NV	8%	724	+8%
2002 Q3	Los Angeles, CA	5%	1,706	+15%
2002 Q3	Miami, FL	13%	1,633	+33%
2002 Q3	Milwaukee, WI	7%	427	+40%
2002 Q3	Minneapolis, MN	6%	1,075	+26%
2002 Q3	Montgomery County, PA	4%	374	+59%
2002 Q3	Nashville, TN	7%	532	-5%
2002 Q3	New Brunswick, NJ	5%	746	+27%
2002 Q3	New York, NY	9%	1,764	+21%
2002 Q3	Newark, NJ	6%	602	+38%
2002 Q3	Oakland, CA	4%	400	+7%
2002 Q3	Orlando, FL	10%	1,025	+35%
2002 Q3	Philadelphia, PA	6%	429	+19%
2002 Q3	Phoenix, AZ	11%	2,385	+2%
2002 Q3	Portland, OR	6%	568	+39%
2002 Q3	Providence, RI	5%	306	+9%
2002 Q3	Riverside, CA	7%	1,338	+32%
2002 Q3	Sacramento, CA	6%	634	-4%
2002 Q3	San Diego, CA	6%	813	+14%
2002 Q3	San Francisco, CA	5%	191	+19%
2002 Q3	San Jose, CA	4%	190	+41%
2002 Q3	Seattle, WA	5%	549	+14%
2002 Q3	Tampa, FL	10%	1,664	+26%
2002 Q3	Virginia Beach, VA	7%	566	+53%
2002 Q3	Warren, MI	9%	967	-8%
2002 Q3	Washington, DC	4%	999	+21%
2002 Q3	West Palm Beach, FL	9%	998	+71%
2002 Q2	National	8%	38,177	+29%
2002 Q2	Anaheim, CA	6%	756	+39%
2002 Q2	Atlanta, GA	12%	2,845	+29%
2002 Q2	Baltimore, MD	8%	980	+24%
2002 Q2	Charlotte, NC	11%	816	+29%
2002 Q2	Chicago, IL	6%	1,514	+11%
2002 Q2	Cincinnati, OH	10%	842	+43%
2002 Q2	Cleveland, OH	8%	652	+4%
2002 Q2	Columbus, OH	9%	714	+25%
2002 Q2	Denver, CO	6%	845	-3%
2002 Q2	Fort Lauderdale, FL	8%	1,165	+15%
2002 Q2	Jacksonville, FL	12%	756	+45%
2002 Q2	Las Vegas, NV	9%	796	+4%
2002 Q2	Los Angeles, CA	5%	1,836	+35%
2002 Q2	Miami, FL	13%	1,790	+53%
2002 Q2	Milwaukee, WI	7%	409	+32%
2002 Q2	Minneapolis, MN	7%	1,048	+58%
2002 Q2	Montgomery County, PA	5%	366	+87%
2002 Q2	Nashville, TN	7%	588	+26%
2002 Q2	New Brunswick, NJ	5%	579	+26%
2002 Q2	New York, NY	10%	1,906	+30%
2002 Q2	Newark, NJ	8%	636	+63%
2002 Q2	Oakland, CA	4%	473	+46%
2002 Q2	Orlando, FL	10%	1,002	+18%
2002 Q2	Philadelphia, PA	7%	429	+41%
2002 Q2	Phoenix, AZ	11%	2,643	+17%
2002 Q2	Portland, OR	6%	578	+43%
2002 Q2	Providence, RI	5%	292	+21%
2002 Q2	Riverside, CA	7%	1,418	+23%
2002 Q2	Sacramento, CA	6%	642	+13%
2002 Q2	San Diego, CA	7%	923	+31%
2002 Q2	San Francisco, CA	5%	254	+74%
2002 Q2	San Jose, CA	3%	195	+46%
2002 Q2	Seattle, WA	5%	591	+60%
2002 Q2	Tampa, FL	10%	1,781	+37%
2002 Q2	Virginia Beach, VA	8%	609	+34%
2002 Q2	Warren, MI	8%	991	-1%
2002 Q2	Washington, DC	4%	970	+16%
2002 Q2	West Palm Beach, FL	10%	1,119	+69%
2002 Q1	National	8%	28,647	+13%
2002 Q1	Anaheim, CA	5%	512	+22%
2002 Q1	Atlanta, GA	12%	2,242	+25%
2002 Q1	Baltimore, MD	8%	703	+5%
2002 Q1	Charlotte, NC	13%	729	+52%
2002 Q1	Chicago, IL	5%	1,013	+0%
2002 Q1	Cincinnati, OH	10%	629	+32%
2002 Q1	Cleveland, OH	9%	495	+11%
2002 Q1	Columbus, OH	10%	574	+46%
2002 Q1	Denver, CO	6%	641	-13%
2002 Q1	Fort Lauderdale, FL	8%	904	+6%
2002 Q1	Jacksonville, FL	13%	592	+14%
2002 Q1	Las Vegas, NV	9%	591	+1%
2002 Q1	Los Angeles, CA	5%	1,309	+14%
2002 Q1	Miami, FL	11%	1,150	+10%
2002 Q1	Milwaukee, WI	8%	345	+38%
2002 Q1	Minneapolis, MN	7%	692	+20%
2002 Q1	Montgomery County, PA	5%	268	+72%
2002 Q1	Nashville, TN	8%	462	+8%
2002 Q1	New Brunswick, NJ	6%	524	+11%
2002 Q1	New York, NY	9%	1,502	-20%
2002 Q1	Newark, NJ	8%	499	+27%
2002 Q1	Oakland, CA	4%	329	+11%
2002 Q1	Orlando, FL	10%	811	+23%
2002 Q1	Philadelphia, PA	7%	346	+24%
2002 Q1	Phoenix, AZ	11%	2,113	+13%
2002 Q1	Portland, OR	4%	301	+6%
2002 Q1	Providence, RI	5%	239	+39%
2002 Q1	Riverside, CA	8%	1,092	+9%
2002 Q1	Sacramento, CA	6%	475	-6%
2002 Q1	San Diego, CA	6%	651	+29%
2002 Q1	San Francisco, CA	5%	178	+27%
2002 Q1	San Jose, CA	3%	186	+42%
2002 Q1	Seattle, WA	4%	382	+19%
2002 Q1	Tampa, FL	10%	1,282	+24%
2002 Q1	Virginia Beach, VA	9%	406	+3%
2002 Q1	Warren, MI	11%	1,238	+29%
2002 Q1	Washington, DC	5%	770	+11%
2002 Q1	West Palm Beach, FL	8%	676	+28%
2001 Q4	National	7%	27,628	+3%
2001 Q4	Anaheim, CA	5%	441	-2%
2001 Q4	Atlanta, GA	11%	2,003	+6%
2001 Q4	Baltimore, MD	7%	703	+4%
2001 Q4	Charlotte, NC	10%	569	+9%
2001 Q4	Chicago, IL	5%	1,217	+11%
2001 Q4	Cincinnati, OH	8%	579	-2%
2001 Q4	Cleveland, OH	8%	539	-4%
2001 Q4	Columbus, OH	8%	481	+11%
2001 Q4	Denver, CO	6%	686	-15%
2001 Q4	Fort Lauderdale, FL	8%	886	+13%
2001 Q4	Jacksonville, FL	11%	547	+9%
2001 Q4	Las Vegas, NV	9%	609	+28%
2001 Q4	Los Angeles, CA	5%	1,255	-4%
2001 Q4	Miami, FL	10%	1,194	+12%
2001 Q4	Milwaukee, WI	6%	287	+17%
2001 Q4	Minneapolis, MN	6%	823	+25%
2001 Q4	Montgomery County, PA	3%	193	-5%
2001 Q4	Nashville, TN	7%	458	+37%
2001 Q4	New Brunswick, NJ	5%	466	-7%
2001 Q4	New York, NY	9%	1,558	-3%
2001 Q4	Newark, NJ	6%	445	-13%
2001 Q4	Oakland, CA	4%	329	-1%
2001 Q4	Orlando, FL	9%	728	-4%
2001 Q4	Philadelphia, PA	5%	321	+0%
2001 Q4	Phoenix, AZ	13%	2,281	+7%
2001 Q4	Portland, OR	4%	299	+9%
2001 Q4	Providence, RI	5%	250	+22%
2001 Q4	Riverside, CA	6%	920	-6%
2001 Q4	Sacramento, CA	6%	471	-13%
2001 Q4	San Diego, CA	6%	578	+4%
2001 Q4	San Francisco, CA	6%	170	+43%
2001 Q4	San Jose, CA	4%	147	-13%
2001 Q4	Seattle, WA	4%	353	+14%
2001 Q4	Tampa, FL	8%	1,118	+6%
2001 Q4	Virginia Beach, VA	9%	346	+8%
2001 Q4	Warren, MI	9%	1,055	-2%
2001 Q4	Washington, DC	4%	730	+1%
2001 Q4	West Palm Beach, FL	7%	652	-1%
2001 Q3	National	7%	30,880	+9%
2001 Q3	Anaheim, CA	5%	560	+11%
2001 Q3	Atlanta, GA	10%	2,385	+11%
2001 Q3	Baltimore, MD	6%	693	-2%
2001 Q3	Charlotte, NC	9%	593	+7%
2001 Q3	Chicago, IL	5%	1,431	+17%
2001 Q3	Cincinnati, OH	7%	622	-18%
2001 Q3	Cleveland, OH	8%	650	+10%
2001 Q3	Columbus, OH	7%	587	-33%
2001 Q3	Denver, CO	5%	883	+1%
2001 Q3	Fort Lauderdale, FL	7%	1,075	+39%
2001 Q3	Jacksonville, FL	10%	586	+9%
2001 Q3	Las Vegas, NV	9%	671	+2%
2001 Q3	Los Angeles, CA	5%	1,486	+16%
2001 Q3	Miami, FL	9%	1,230	+5%
2001 Q3	Milwaukee, WI	5%	304	+12%
2001 Q3	Minneapolis, MN	5%	850	+28%
2001 Q3	Montgomery County, PA	2%	235	+3%
2001 Q3	Nashville, TN	8%	561	+46%
2001 Q3	New Brunswick, NJ	4%	587	+1%
2001 Q3	New York, NY	8%	1,456	-21%
2001 Q3	Newark, NJ	5%	435	-3%
2001 Q3	Oakland, CA	4%	373	+1%
2001 Q3	Orlando, FL	8%	757	-2%
2001 Q3	Philadelphia, PA	5%	362	+33%
2001 Q3	Phoenix, AZ	11%	2,330	+29%
2001 Q3	Portland, OR	4%	409	+14%
2001 Q3	Providence, RI	5%	282	+34%
2001 Q3	Riverside, CA	6%	1,013	-13%
2001 Q3	Sacramento, CA	6%	659	+30%
2001 Q3	San Diego, CA	6%	715	+33%
2001 Q3	San Francisco, CA	5%	160	+8%
2001 Q3	San Jose, CA	3%	135	-26%
2001 Q3	Seattle, WA	4%	482	+28%
2001 Q3	Tampa, FL	8%	1,317	+22%
2001 Q3	Virginia Beach, VA	6%	369	
2001 Q3	Warren, MI	9%	1,053	-12%
2001 Q3	Washington, DC	4%	823	+7%
